label,symbol,direction,session,pnl,j15m_entry,j15m_entry_zone,j1h_entry,j1h_entry_zone,j15m_exit,j15m_exit_zone,j1h_exit,j1h_exit_zone,j1h_direction,j1h_min,j1h_max,j15m_crosses,se_time,se_j15m,se_pnl,error
BEST-1 ZEC HL LONG ASIA TP1,ZEC_USDT,LONG,ASIA,237.92,43.47,UNDECIDED,33.38,UNDECIDED,114.93,BULLISH,91.8,BULLISH,RISING,11.29,91.8,02:30 U→B | 04:00 B→U | 05:00 U→B | 07:15 B→U | 08:00 U→B,02:30,91.83,355.87,
BEST-2 ZEC HL LONG ASIA TP1,ZEC_USDT,LONG,ASIA,234.59,73.54,BULLISH,49.74,UNDECIDED,112.4,BULLISH,78.64,BULLISH,RISING,37.62,78.64,19:15 B→U | 19:30 U→B | 20:00 B→U | 20:15 U→B | 20:45 B→U | 22:00 U→B,22:15,102.12,102.36,
BEST-3 ZEC MEXC LONG EU TP1,ZEC_USDT,LONG,EU,233.5,30.64,UNDECIDED,12.7,BEARISH,119.65,BULLISH,85.07,BULLISH,RISING,12.7,85.07,08:00 U→B,07:45,60.08,85.94,
BEST-4 ZEC MEXC SHORT EU TP1,ZEC_USDT,SHORT,EU,224.23,88.29,BULLISH,88.65,BULLISH,4.86,BEARISH,50.3,UNDECIDED,FALLING,50.3,88.65,10:15 B→U | 10:45 U→B,10:30,41.79,235.46,
BEST-5 ZEC HL LONG EU TP1,ZEC_USDT,LONG,EU,220.35,2.36,BEARISH,8.11,BEARISH,95.26,BULLISH,97.36,BULLISH,RISING,-7.47,97.36,13:30 B→B | 14:30 B→U | 16:30 U→B | 17:00 B→U | 17:15 U→B | 17:30 B→U | 18:15 U→B | 18:30 B→U,13:30,79.22,389.44,
BEST-6 ZEC HL SHORT ASIA MAN,ZEC_USDT,SHORT,ASIA,193.98,77.57,BULLISH,92.65,BULLISH,19.07,BEARISH,72.23,BULLISH,FALLING,22.9,92.65,00:30 B→U | 01:15 U→B | 03:15 B→U | 03:45 U→B | 04:00 B→U | 04:15 U→B | 05:30 B→U | 06:15 U→B,01:00,46.67,90.37,
BEST-7 AVAX HL LONG ASIA TP1,AVAX_USDT,LONG,ASIA,190.58,16.92,BEARISH,32.42,UNDECIDED,35.97,UNDECIDED,32.42,UNDECIDED,RISING,32.42,47.4,19:45 B→U,20:00,53.94,450.37,
BEST-8 HYPE MEXC LONG US TP1,HYPE_USDT,LONG,US,181.25,5.56,BEARISH,33.37,UNDECIDED,42.72,UNDECIDED,33.37,UNDECIDED,FALLING,10.74,33.37,15:45 B→U,,,,
BEST-9 AVAX HL LONG ASIA TP1,AVAX_USDT,LONG,ASIA,178.27,16.19,BEARISH,1.02,BEARISH,100.84,BULLISH,94.49,BULLISH,RISING,-3.71,94.49,06:00 B→U | 07:00 U→B | 08:15 B→U | 08:30 U→B | 10:15 B→U | 10:30 U→B | 11:30 B→U | 12:15 U→B,09:30,106.69,57.68,
BEST-10 AVAX HL LONG ASIA MAN,AVAX_USDT,LONG,ASIA,160.08,16.19,BEARISH,1.02,BEARISH,23.6,BEARISH,19.26,BEARISH,RISING,-3.71,94.49,06:00 B→U | 07:00 U→B | 08:15 B→U | 08:30 U→B | 10:15 B→U | 10:30 U→B | 11:30 B→U | 12:15 U→B,09:30,106.69,57.68,
WORST-1 ZEC MEXC SHORT ASIA SL,ZEC_USDT,SHORT,ASIA,-479.63,89.41,BULLISH,92.53,BULLISH,97.46,BULLISH,95.11,BULLISH,FLAT,87.39,95.11,07:30 B→U | 08:15 U→B | 09:15 B→U | 09:45 U→B,08:00,48.75,90.06,
WORST-2 ZEC MEXC LONG ASIA SL,ZEC_USDT,LONG,ASIA,-351.93,10.04,BEARISH,9.19,BEARISH,-6.5,BEARISH,32.12,UNDECIDED,FLAT,9.19,85.99,06:00 B→U | 06:30 U→B | 06:45 B→U | 07:00 U→B | 09:15 B→U | 10:00 U→B | 11:15 B→U | 12:15 U→B,07:15,104.17,33.66,
